Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTY,35524,OPTIDX,PE,21350,NIFTY,NIFTY 11th JUL 21350 PE,NIFTY11JUL24P21350,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35525,OPTIDX,CE,21400,NIFTY,NIFTY 11th JUL 21400 CE,NIFTY11JUL24C21400,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35526,OPTIDX,PE,21400,NIFTY,NIFTY 11th JUL 21400 PE,NIFTY11JUL24P21400,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35527,OPTIDX,CE,21450,NIFTY,NIFTY 11th JUL 21450 CE,NIFTY11JUL24C21450,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35528,OPTIDX,PE,21450,NIFTY,NIFTY 11th JUL 21450 PE,NIFTY11JUL24P21450,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35529,OPTIDX,CE,21500,NIFTY,NIFTY 11th JUL 21500 CE,NIFTY11JUL24C21500,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35530,OPTIDX,PE,21500,NIFTY,NIFTY 11th JUL 21500 PE,NIFTY11JUL24P21500,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35531,OPTIDX,CE,21550,NIFTY,NIFTY 11th JUL 21550 CE,NIFTY11JUL24C21550,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35532,OPTIDX,PE,21550,NIFTY,NIFTY 11th JUL 21550 PE,NIFTY11JUL24P21550,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35533,OPTIDX,CE,21600,NIFTY,NIFTY 11th JUL 21600 CE,NIFTY11JUL24C21600,2024-07-11,25,0.05
NFO,nse_fo,NIFTY,35534,OPTIDX,PE,21600,NIFTY,NIFTY 11th JUL 21600 PE,NIFTY11JUL24P21600,2024-07-11,25,0.05
NFO,nse_fo,GLENMARK,35535,FUTSTK,XX,-1,GLENMARK PHARMACEUTICALS,GLENMARK SEP FUT,GLENMARK26SEP24F,2024-09-26,725,0.05
NFO,nse_fo,GMRINFRA,35536,FUTSTK,XX,-1,GMR AIRPORTS INFRA LTD,GMRINFRA SEP FUT,GMRINFRA26SEP24F,2024-09-26,11250,0.01
NFO,nse_fo,GNFC,35537,FUTSTK,XX,-1,GUJ NAR VAL FER & CHEM L,GNFC SEP FUT,GNFC26SEP24F,2024-09-26,1300,0.05
NFO,nse_fo,GODREJCP,35539,FUTSTK,XX,-1,GODREJ CONSUMER PRODUCTS,GODREJCP SEP FUT,GODREJCP26SEP24F,2024-09-26,500,0.05
NFO,nse_fo,GODREJPROP,35540,FUTSTK,XX,-1,GODREJ PROPERTIES LTD,GODREJPROP SEP FUT,GODREJPROP26SEP24F,2024-09-26,225,0.05
NFO,nse_fo,GRANULES,35541,FUTSTK,XX,-1,GRANULES INDIA LIMITED,GRANULES SEP FUT,GRANULES26SEP24F,2024-09-26,2000,0.05
